name,return-text,geography,icon
Route 1,requesting Route 1,&path=color:0xEF1731ff|weight:5|enc:sbzlFbaavMzPquEduCm{BfsDeuCbeAqwDhaCihCzhDsgC}iBwhEc{@abDadC}}@{xBs}Be|BvI{vCs}BocFs{C,
Route 2,requesting Route 2,&path=color:0xFD8E0Bff|weight:5|enc:m`hlFfxytMvm@qnBp|A_N~}B{cBb]ytAxw@}x@,
clockwise,clockwise,"&markers=icon:https://i.imgur.com/3mv1yGE.png|38.981267,-76.858641",
counter-clockwise,counter-clockwise,"&markers=icon:https://i.imgur.com/NcFXeSv.png|38.981267,-76.858641",
counter clockwise,counter-clockwise,"&markers=icon:https://i.imgur.com/NcFXeSv.png|38.981267,-76.858641",
counterclockwise,counter-clockwise,"&markers=icon:https://i.imgur.com/NcFXeSv.png|38.981267,-76.858641",
Route 3 counter clockwise,requesting Route 3 CCW,"&path=color:0xffff00ff|weight:7|enc:cpdlFlbivMnhHpGjwBgzG{aAi}LvY{wFbg@ujDuuB_jL{|@axG`NguCo_@cyAo~S`]{eD{{D{hE`sCmbDhwC_b@lfDjVd|FhB`iGjVjmGht@xv@iBflAaoAl{Btm@fxHv{Cja@j`@~tBbcBzZ~\b{@tkGhfD|bCuXn~@vg@|gCiC&markers=icon:https://i.imgur.com/NcFXeSv.png|38.981267,-76.858641",
Route 3 counter-clockwise,requesting Route 3 CCW,"&path=color:0xffff00ff|weight:7|enc:cpdlFlbivMnhHpGjwBgzG{aAi}LvY{wFbg@ujDuuB_jL{|@axG`NguCo_@cyAo~S`]{eD{{D{hE`sCmbDhwC_b@lfDjVd|FhB`iGjVjmGht@xv@iBflAaoAl{Btm@fxHv{Cja@j`@~tBbcBzZ~\b{@tkGhfD|bCuXn~@vg@|gCiC&markers=icon:https://i.imgur.com/NcFXeSv.png|38.981267,-76.858641",
Route 3 counterclockwise,requesting Route 3 CCW,"&path=color:0xffff00ff|weight:7|enc:cpdlFlbivMnhHpGjwBgzG{aAi}LvY{wFbg@ujDuuB_jL{|@axG`NguCo_@cyAo~S`]{eD{{D{hE`sCmbDhwC_b@lfDjVd|FhB`iGjVjmGht@xv@iBflAaoAl{Btm@fxHv{Cja@j`@~tBbcBzZ~\b{@tkGhfD|bCuXn~@vg@|gCiC&markers=icon:https://i.imgur.com/NcFXeSv.png|38.981267,-76.858641",
Route 3 clockwise,requesting Route 3 CW,"&path=color:0xffff00ff|weight:7|enc:cpdlFlbivMnhHpGjwBgzG{aAi}LvY{wFbg@ujDuuB_jL{|@axG`NguCo_@cyAo~S`]{eD{{D{hE`sCmbDhwC_b@lfDjVd|FhB`iGjVjmGht@xv@iBflAaoAl{Btm@fxHv{Cja@j`@~tBbcBzZ~\b{@tkGhfD|bCuXn~@vg@|gCiC&markers=icon:https://i.imgur.com/3mv1yGE.png|38.981267,-76.858641",
Route 3,requesting Route 3,&path=color:0xffff00ff|weight:7|enc:cpdlFlbivMnhHpGjwBgzG{aAi}LvY{wFbg@ujDuuB_jL{|@axG`NguCo_@cyAo~S`]{eD{{D{hE`sCmbDhwC_b@lfDjVd|FhB`iGjVjmGht@xv@iBflAaoAl{Btm@fxHv{Cja@j`@~tBbcBzZ~\b{@tkGhfD|bCuXn~@vg@|gCiC,
Route 4,requesting Route 4,"&path=color:0x76FD0Bff|weight:5|38.856519,-77.023314|38.718792,-77.037927",
Route 5,requesting Route 5,&path=color:0x0B44FDff|weight:5|enc:gmwkFfj`vMukBw_C{aAeuCo_AcdBeq@abDijC{vB,
Route 6,requesting Route 6,&path=color:0x0BD9FDff|weight:5|enc:yeflFfgjuM`zAolH|oEsfQ,
Route 7,requesting Route 7,&path=color:0xC70BFDff|weight:5|enc:kvblFbhfuMjBvxE|zA|aCkzC|dHyqAp`A_tEx_IwYf}@icGhjYto@bxPolMtu`@,
Route 12,requesting Route 12,&path=color:grey|weight:5|iudmFv_ttM_`FwnCu^cyAkxPspMclLqgV{aDemF,
Zone 1,requesting Zone 1,&path=fillcolor:0xEF173133|color:0xEF173133|weight:1|enc:mrplFh_juMvxCwrPnf@lv@jw@tyAs@d|A`q@pz@sx@lj@w_@r_BiEzbA_j@|Z_r@tAq~A~oAa]Ps@{g@,
Zone 2,requesting Zone 2,&path=fillcolor:0xFD8E0B33|color:0xFD8E0B33|weight:1|enc:wuplFptiuM`|C_hPsXup@qoAum@uY_gA}lCmqCyuIafEwmChdDtVd}[ll@xg@lF|nAa{A|iCho@nvGxtDjr@zsA_{Ap{DcwB|jDcbDlo@euCr@scAyuAdn@uT}x@,
Zone 3,requesting Zone 3,&path=fillcolor:0xFFFF0066|color:0xFFFF0033|weight:1|enc:wztkF`{|tM_jPdP}sBc`EslD__BqdC}gAwhKgzGxmEkfDplDthE~sNppAvcGnT`gEgpBjVpjO,
Zone 4,requesting Zone 4,&path=fillcolor:0x76FD0B33|color:0x76FD0B33|weight:1|enc:khblFpw~tMzkAja@`~B~\`tBrGvOlbFu|HdPuxCeP??,
Zone 5,requesting Zone 5,&path=fillcolor:0x0B44FD33|color:0x0B44FD33|weight:1|enc:iselFnujuMz`LtcAx_KbgHw~GpjOu}D|gAo{LrGqaHucAshFy{Djg@_mEbwBw_Cf_Dw_Cz_BkfD,
Zone 6,requesting Zone 6,&path=fillcolor:0x0BD9FD33|color:0x0BD9FD33|weight:1|enc:ctylF`navMk|AhtJy{Cj_A_aCor@knCfaKtnR~zKzzPhjBbzK_sAeg@s`_@ohFth@wkHvX{dHglA{oD_dC,
Zone 7,requesting Zone 7,&path=fillcolor:0xC70BFD33|color:0xC70BFD33|weight:1|enc:crzlFxiavMcjDnjLmlDen@_sDhvIsiB_wXqsBikSh`@gmRpdEkuVvkKfzGweDb`E?|yGjLvtLtOdlE~f@ja@tEnpAaeArnB~R|sHz_Gz~A,
split the ps,requesting 'split the ps' between prohibited zones,"&path=color:0x757575ff|weight:5|38.904793064,-77.068467308|38.9171201094,-77.0353911538",
split the p's,requesting 'split the ps' between prohibited zones,"&path=color:0x757575ff|weight:5|38.904793064,-77.068467308|38.9171201094,-77.0353911538",
Memorial,at Memorial bridge,"&markers=color:0xEF1731ff|38.887295,-77.055610",
Andrews,to/from Andrews AFB,"&markers=color:0xFD8E0Bff|38.811225,-76.868981",
Anacostia,to/from JB Bolling (Anacostia),"&markers=color:0xffff00ff|38.847203,-77.009728",
Bolling,to/from JB Bolling (Anacostia),"&markers=color:0xffff00ff|38.847203,-77.009728",
JB Bolling,to/from JB Bolling (Anacostia),"&markers=color:0xffff00ff|38.847203,-77.009728",
South Cap,South Capitol St Heliport (MPDC),"&markers=color:0x76FD0Bff|38.868599,-77.008398",
South Capitol,South Capitol St Heliport (MPDC),"&markers=color:0x76FD0Bff|38.868599,-77.008398",
Pentagon,to Pentagon,"&markers=color:0x0B44FDff|38.874901,-77.056644",
pentagon transition,Pentagon transition,&path=color:0x757575ff|weight:5|enc:mhflFb|juM}sBen@,
pentagon transit,Pentagon transition,&path=color:0x757575ff|weight:5|enc:mhflFb|juM}sBen@,
pentagon transfer,Pentagon transition,&path=color:0x757575ff|weight:5|enc:mhflFb|juM}sBen@,
Tidal Basin,Tidal Basin,"&markers=color:0x0BD9FDff|38.884314,-77.039771",
14th Street,at 14th St Bridge,"&markers=color:0x0BD9FDff|38.876044,-77.041595",
14th st,at 14th St Bridge,"&markers=color:0x0BD9FDff|38.876044,-77.041595",
Wilson Bridge,at Wilson bridge,"&markers=color:0xC70BFD33|38.792758,-77.029948",
Wilson,at Wilson bridge,"&markers=color:0xC70BFD33|38.792758,-77.029948",
Key Bridge,at Key Bridge,"&markers=color:0x757575ff|38.9023799,-77.0699128",
Chain Bridge,at Chain bridge,"&markers=color:0x757575ff|38.929221,-77.114287",
TR Bridge,Roosevelt (TR) Bridge,"&markers=color:0x757575ff|38.8922897,-77.0619731",
DCA,Washington National Airport,"&markers=color:0x757575ff|38.857385,-77.039970",
boardwalk,Coast Guard Station DCA (Boardwalk),"&markers=color:0x757575ff|38.846454, -77.044609",
Dulles,Washington Dulles Internation Airport,"&markers=color:0x757575ff|38.946352,-77.469059",
IAD,Washington Dulles International Airport,"&markers=color:0x757575ff|38.946352,-77.469059",
Tipton,Tipton Airfield,"&markers=color:0x757575ff|39.086642,-76.758483",
wood's corner,Wood's Corner MD,"&markers=color:0x757575ff|38.8349906,-76.9292743",
woods corner,Wood's Corner MD,"&markers=color:0x757575ff|38.8349906,-76.9292743",
west corner,West Corner Boundary Stone (assumed),"&markers=color:0x757575ff|38.8932906,-77.1722335",
college park, CGS College Park Airport,"&markers=color:0x757575ff|38.9795446,-76.9227324",
Glebe,at Glebe Rd (Shirlington),"&markers=color:0x757575ff|38.842360,-77.081439",
Tysons,at/to Tyson's Corner,"&markers=color:0x757575ff|38.921050,-77.212555",
Cabin John,at/to Cabin John,"&markers=color:0x757575ff|38.971586,-77.162646",
Great Falls,at/to Great Falls,"&markers=color:0x757575ff|39.000481,-77.253681",
Greenbelt,at/to Greenbelt,"&markers=color:0x757575ff|38.996785,-76.881458",
Eagle's Nest,at/to The Eagle's Nest,"&markers=color:0x757575ff|38.866776,-76.994477",
Eagles Nest,at/to The Eagle's Nest,"&markers=color:0x757575ff|38.866776,-76.994477",
The Nest,at/to The Eagle's Nest,"&markers=color:0x757575ff|38.866776,-76.994477",
Davidson,to Davison Field (Fort Belvoir),"&markers=color:0x757575ff|38.714285,-77.180762",
Davison,to Davison Field (Fort Belvoir),"&markers=color:0x757575ff|38.714285,-77.180762",
Laurel,to/from Laurel MD,"&markers=color:0x757575ff|39.097106,-76.850873",
Manassas,HEF Manassas Regional Airport,"&markers=color:0x757575ff|38.7257101,-77.5143278",
Fort mcnair,to Fort McNair,"&markers=color:0x757575ff|38.8682861,-77.0226419",
fort washington, to Fort Washington,"&markers=color:0x757575ff|38.704794,-77.025003",
RFK,at/to RFK stadium,"&markers=color:0x757575ff|38.889392,-76.971902",
DC Armory,at/to DC Armory,"&markers=color:0x757575ff|38.887915,-76.976063",
Armory,at/to DC Armory,"&markers=color:0x757575ff|38.887915,-76.976063",
Walter Reed,Walter Reed,"&markers=color:0x757575ff|39.001835,-77.094701",
doctors,Doctors Hospital Lanham MD,"&markers=color:0x757575ff|38.9819328,-76.8643603",
fairfax hospital,Fairfax Hospital,"&markers=color:0x757575ff|38.8572185,-77.2278921",
fairfax,Fairfax Hospital,"&markers=color:0x757575ff|38.8572185,-77.2278921",
INOVA fairfax,Fairfax Hospital,"&markers=color:0x757575ff|38.8572185,-77.2278921",
INOVA fairfax hospital,Fairfax Hospital,"&markers=color:0x757575ff|38.8572185,-77.2278921",
medstar,Medstar Washington Hospital Center,"&markers=color:0x757575ff|38.9287881,-77.0143272",
georgetown,Medstar Georgetown University Hospital,"&markers=color:0x757575ff|38.9105064,-77.0798185",
pg county,Prince George's County Hospital Center,"&markers=color:0x757575ff|38.9306542,-76.9559348",
montgomery general,Montgomery General Hospital,"&markers=color:0x757575ff|39.153756,-77.0547649",
alexandria,INOVA Alexandria Hospital,"&markers=color:0x757575ff|38.8224707,-77.1049143",
